TIME		PLN-0														OBJ-0			
TICK:	DUR:	X:	Y:	ALT:	SPD:	ACCEL:	VSPD:	THRTL:	HDG:	VHDG:	CR:	ROLL:	VCR:	PTS:	DMG:	X:	Y:	ALT:	
17086	16	313.4	408.7	2560	251.7	-0.1	0.0	50.0	-51.1	0.0	-0.03	-0.14	0.00	2	0.0	100	264	2538	
17376	15	303.0	400.3	2561	315.5	24.1	36.4	100.0	-51.2	6.6	0.00	0.00	0.66	2	0.0	100	264	2538	
17669	14	289.9	389.8	2555	407.9	13.4	-262.2	100.0	-51.2	-40.0	0.00	0.00	-4.00	2	0.0	100	264	2538	
17959	15	276.9	379.4	2541	455.1	-0.9	-239.6	89.3	-51.2	-31.8	0.00	0.00	-3.14	2	0.0	100	264	2538	
18252	15	260.7	366.4	2538	387.4	-13.5	-6.7	51.2	-51.2	-1.0	0.00	0.00	-0.10	2	0.0	100	264	2538	
18542	16	246.8	355.2	2537	334.9	-8.0	0.0	50.0	-51.2	0.0	0.00	0.00	0.00	2	0.0	100	264	2538	
18833	16	234.4	345.2	2538	303.9	-4.8	3.0	50.0	-51.2	0.6	0.00	0.00	0.06	2	0.0	100	264	2538	
19121	15	222.9	336.0	2538	305.9	25.1	0.0	100.0	-51.2	0.0	0.00	0.00	0.00	2	0.0	100	264	2538	
19410	15	208.9	324.7	2538	402.4	14.1	0.0	100.0	-51.2	0.0	0.00	0.00	0.00	2	0.0	100	264	2538	
19698	16	192.1	311.2	2538	453.6	7.1	0.0	100.0	-51.2	0.0	0.00	0.00	0.00	2	0.0	100	264	2538	
19984	16	173.9	296.6	2538	478.6	3.4	0.0	100.0	-51.2	0.0	0.00	0.00	0.00	2	0.0	100	264	2538	
[!] Exited main loop with exitcode 1
